name,stationcode,ebike,mechanical,x,y,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Buisson Saint-Louis - Saint-Maur,10024,1,2,2.3722528328789854,48.87174684930295,2023-05-26T15:46:11+00:00,3,15,19,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Championnet - Vauvenargues,18028,2,0,2.3319872841238976,48.89401874744574,2023-05-26T15:44:55+00:00,2,30,33,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Place Marcel Cachin,42014,0,24,2.39090770483017,48.81411442356866,2023-05-26T15:44:11+00:00,24,6,32,OUI,OUI,Ivry-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Mouton Duvernet - Général Leclerc,14008,4,2,2.3293121159076686,48.831632518292565,2023-05-26T15:46:02+00:00,6,33,39,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Marc Sangnier - Porte de Vanves,14106,0,1,2.3107116669416428,48.825218683556734,2023-05-26T15:43:37+00:00,1,20,21,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Etienne Jodelle - Saint Ouen,18046,2,0,2.326124420314341,48.88794016394694,2023-05-26T15:45:23+00:00,2,28,33,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Guy Môquet - Etienne Dolet,22406,1,0,2.298078276995073,48.81527009991819,2023-05-26T15:46:13+00:00,1,21,23,OUI,OUI,Malakoff,OUI,2023-05-26T16:22:00.535Z
Marcadet - Barbès,18022,3,3,2.3490573929687,48.890451120965,2023-05-26T15:46:15+00:00,6,29,37,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Bertie Albrecht - Hoche,8054,3,0,2.301303138307601,48.87614039826388,2023-05-26T15:46:16+00:00,3,27,32,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Molière - République,21209,1,0,2.3145738624448158,48.81111581390707,2023-05-26T15:43:52+00:00,1,25,30,OUI,OUI,Montrouge,OUI,2023-05-26T16:22:00.535Z
Sibelle - Alésia,14012,4,1,2.3384983465075493,48.826701758539215,2023-05-26T15:45:39+00:00,5,19,25,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Hôtel de Ville de Boulogne Billancourt,21005,2,12,2.2416803240776066,48.83495885166784,2023-05-26T15:46:00+00:00,14,12,26,OUI,OUI,Boulogne-Billancourt,OUI,2023-05-26T16:22:00.535Z
Hoche - Jean Lolive,35010,1,1,2.402843534946442,48.89110239200789,2023-05-26T15:44:22+00:00,2,22,24,OUI,OUI,Pantin,OUI,2023-05-26T16:22:00.535Z
David Weill - Parc Montsouris,14124,2,0,2.333725690841675,48.821092374256104,2023-05-26T15:45:28+00:00,2,20,22,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Saint Lambert - Blomet,15133,4,7,2.2930556908249855,48.83659148147257,2023-05-26T15:45:28+00:00,11,14,27,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Place Robert Guillemard,15110,1,11,2.2811267160086417,48.836191728066666,2023-05-26T15:46:12+00:00,12,11,24,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Edouard Tremblay - Julian Grimaux,44013,2,0,2.3723508417606,48.781383825117,2023-05-26T15:46:09+00:00,2,27,30,OUI,OUI,Vitry-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Nationale - Place Jules Guesde,21015,1,8,2.2416052222251897,48.82753962462998,2023-05-26T15:40:28+00:00,9,14,23,OUI,OUI,Boulogne-Billancourt,OUI,2023-05-26T16:22:00.535Z
Gabriel Péri - Danielle Casanova,44003,1,14,2.4025777,48.790114,2023-05-26T15:43:22+00:00,15,5,20,OUI,OUI,Vitry-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Carnot - Pâquerettes,41404,5,7,2.4261841177940373,48.79592939432515,2023-05-26T15:43:43+00:00,12,9,26,OUI,OUI,Alfortville,OUI,2023-05-26T16:22:00.535Z
Karl Marx,48010,0,0,2.3646667979455587,48.784527937293184,2023-05-26T15:45:52+00:00,0,16,16,OUI,OUI,Villejuif,OUI,2023-05-26T16:22:00.535Z
Oberkampf - République,11030,1,2,2.3761147849099955,48.865316087070475,2023-05-26T15:43:14+00:00,3,19,24,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Marcelle - Thalie,35020,2,0,2.4137883,48.8835462,2023-05-26T15:36:23+00:00,2,15,20,OUI,OUI,Pantin,OUI,2023-05-26T16:22:00.535Z
Cujas - Saint-Michel,5106,2,1,2.341831654854,48.848191348584,2023-05-26T15:46:12+00:00,3,13,19,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Louis Lumière - Porte de Bagnolet,20115,0,0,2.4105210229754443,48.86431136000005,2023-05-26T15:45:25+00:00,0,20,20,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Jean Jaurès - Salvador Allende,22402,0,0,2.3026576638221745,48.821475594736775,2023-05-26T15:45:51+00:00,0,40,43,OUI,OUI,Malakoff,OUI,2023-05-26T16:22:00.535Z
Galilée - Kléber,16008,0,0,2.290781380114821,48.86741186571367,2023-05-26T15:45:42+00:00,0,31,32,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Quai Panhard et Levassor,13050,1,21,2.384273745805574,48.82837482809675,2023-05-26T15:45:26+00:00,22,32,57,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Chemin Vert - Saint-Maur,11026,1,0,2.381299026310444,48.86112461407359,2023-05-26T15:45:44+00:00,1,43,45,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Botzaris - Parc des Buttes Chaumont,19024,5,3,2.381464,48.877951,2023-05-26T15:42:10+00:00,8,12,20,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Général De Gaulle - Alouette,41601,6,0,2.4175664,48.839109,2023-05-26T15:45:28+00:00,6,20,26,OUI,OUI,Saint-Mandé,OUI,2023-05-26T16:22:00.535Z
Joseph Liouville - Croix Nivert,15021,5,36,2.297508493065834,48.844835471244416,2023-05-26T15:46:15+00:00,41,22,64,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Estrapade - Ulm,5012,0,0,2.3454568170361734,48.84512772828039,2023-05-26T15:46:09+00:00,0,16,16,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Cauchy - Cévennes,15103,3,44,2.275132834911347,48.8433725710224,2023-05-26T15:42:44+00:00,47,3,51,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Beffroy,22003,3,1,2.261394560337067,48.886591074487995,2023-05-26T15:45:00+00:00,4,22,26,OUI,OUI,Neuilly-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Molitor - Chardon-Lagache,16038,1,12,2.2656840831041336,48.84520880183234,2023-05-26T15:45:26+00:00,13,20,34,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Marie-Georges Picquart - Pereire,17125,3,0,2.3111706599593163,48.88863669349711,2023-05-26T15:46:10+00:00,3,27,32,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Sablons - Georges Mandel,16108,1,6,2.28189,48.863875,2023-05-26T15:46:14+00:00,7,31,38,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Théophile Gautier - François Millet,16136,2,14,2.273029983043671,48.85034821320644,2023-05-26T15:43:47+00:00,16,11,30,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Villette - Belleville,19032,10,2,2.376461327076,48.8726877314,2023-05-26T15:45:24+00:00,12,32,48,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Marché Secrétan,19022,6,2,2.373463287949562,48.88125496379482,2023-05-26T15:46:02+00:00,8,17,26,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Larmeroux - Baudelaire,21701,6,0,2.2809894804846,48.816939911292,2023-05-26T15:46:08+00:00,6,22,29,OUI,OUI,Vanves,OUI,2023-05-26T16:22:00.535Z
Arche - Léonard de Vinci,24001,3,0,2.2383723043644914,48.89790972494496,2023-05-26T15:42:24+00:00,3,25,28,OUI,OUI,Courbevoie,OUI,2023-05-26T16:22:00.535Z
Charles de Gaulle - Sablonville,22016,1,0,2.2763770446181297,48.87991924860035,2023-05-26T15:44:18+00:00,1,24,26,OUI,OUI,Neuilly-sur-Seine,OUI,2023-05-26T16:22:00.535Z
Auguste Cain - Jean Moulin,14136,4,0,2.3210415244102482,48.82577028927573,2023-05-26T15:45:49+00:00,4,35,40,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Miromesnil - La Boétie,8025,0,1,2.315848097205162,48.87372241291653,2023-05-26T15:46:05+00:00,1,33,35,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Chemin Vert - Fraternité,32302,6,1,2.4461565166711807,48.877141208359035,2023-05-26T15:44:31+00:00,7,13,20,OUI,OUI,Romainville,OUI,2023-05-26T16:22:00.535Z
Parmentier - Abel Rabaud,11035,2,2,2.371688821240712,48.86921273836114,2023-05-26T15:43:08+00:00,4,48,52,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Saint-Vincent - Verdun,21301,1,9,2.254007756710053,48.819211549234495,2023-05-26T15:46:13+00:00,10,24,34,OUI,OUI,Issy-les-Moulineaux,OUI,2023-05-26T16:22:00.535Z
Seine - Flandre,19029,2,2,2.3746193200349808,48.886785741479684,2023-05-26T15:46:09+00:00,4,15,19,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Hautpoul - Jean Jaurès,19016,3,0,2.3865414544355,48.886393679436,2023-05-26T15:41:35+00:00,3,27,32,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Grand Prieuré - Crussol,11042,4,5,2.3692265531829,48.864660627935,2023-05-26T15:45:53+00:00,9,39,49,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Square d'Anvers,9005,1,0,2.3448844062122,48.882633484311,2023-05-26T15:45:01+00:00,1,32,33,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Laumière - Petit,19013,5,1,2.380039058625698,48.88467368538326,2023-05-26T15:46:15+00:00,6,28,34,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Saint-Germain - Thenard,5123,3,16,2.3471015,48.850571,2023-05-26T15:44:22+00:00,19,9,31,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Quai du docteur Dervaux,26013,0,0,2.297998,48.910482,2023-01-18T08:46:16+00:00,0,26,26,NON,NON,Asnières-sur-Seine,NON,2023-05-26T16:22:00.535Z
Gare Arcueil - Cachan,42301,5,1,2.328171,48.799824,2023-05-26T15:43:56+00:00,6,18,26,OUI,OUI,Arcueil,OUI,2023-05-26T16:22:00.535Z
Marignan - Champs-Elysées,8013,2,10,2.3066138139003,48.869495661232,2023-05-26T15:45:58+00:00,12,23,35,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Place Amédée Gordini - Lefebvre,15201,0,0,2.2920634208276,48.83061737745,2023-05-26T15:40:49+00:00,0,37,38,OUI,OUI,Paris,OUI,2023-05-26T16:22:00.535Z
Saint-Jacques - Soufflot,5006,0,0,2.343099,48.8465255,2018-06-06T06:42:14+00:00,0,0,0,NON,OUI,Paris,NON,2023-05-26T16:22:00.535Z
Hôtel de Ville de Nanterre,92008,2,0,2.205548956990242,48.892371898250424,2023-05-26T15:43:07+00:00,2,35,38,OUI,OUI,Nanterre,OUI,2023-05-26T16:22:00.535Z
